IC101,AKR,1,300,1
EL111,SM,3,192,1
SC107,MKG,3,192,1
PC110,AM,3,192,1
IT112,BKG&MK,3,192,1
HM218,SJ,3,192,3
CT204,HP,3,192,3
IT216,PB,3,192,3	
IT227,AKM,3,192,3	
SC223,AT,3,192,3	
IT314,ST,3,200,5	
IT304,PKS,3,200,5	
CT303,AJ,3,200,5
CS374,MKR,3,100,5
IE402,MK2,3,50,5
IE411,SS,3,20,5 
IE407,VSP,3,50,5 
IE406,MVJ,3,18,5 
IE408,RLD,3,25,5
IE402,MK2,3,10,7
IE411,SS,3,50,7	
IE407,VSP,3,60,7	
IE406,MVJ,3,20,7		
IE408,RLD,3,40,7
IT494,PMJ,3,34,7
IT555,SDG,3,60,7
CT425,DKG,3,10,7		
CT546,AJ,3,30,7	
CT505,SM,3,12,7	
CT437,HP,3,34,7	
EL524,DNC,3,11,7	
EL526,YA,3,17,7	
EL530,TKM,3,33,7	
EL312,AKR,3,11,7	
EL531,BM,3,12,7
EL453,RP,3,11,7	
EL467,YA,3,13,7
IT414,JP,3,50,7
IT495,MKG,3,13,7 
IT486,AMM,3,20,7
IT550,SMD,3,25,7 
IT499,SB,3,16,7 
IT494,PMJ,3,19,7 
IT498,MB,3,20,7 
IT496,AR2,3,25,7 
IT555,SDG,3,30,7 	
SC435,MT,3,56,7		
SC471,VS,3,19,7	
SC401,AR,3,14,7		
SC421,SB2,3,15,7
SC477,GD,3,17,7
HM333,NB,3,9,7	
HM403,CJ,3,10,7	
HM491,NS,3,15,7	
HM484,BK,3,14,7	
HM492,GV,2,12,7	
HM490,ADT,2,12,7